Imperativ,Infinitiv,Presens,Preteritum,Supinum,Engelsk översättning,Acceptable answers,Attempts,Correct,Example
var,vara,är,var,varit,be,be|to be,0,0,Det är viktigt att ha bra vänner.
ha,ha,har,hade,haft,have,have|to have,0,0,Jag har en katt hemma.
gör,göra,gör,gjorde,gjort,do / make,do|to do|make|to make,0,0,Vad gör du på helgerna?
säg,säga,säger,sa,sagt,say,say|to say,1,1,Hon säger alltid sanningen.
–,kunna,kan,kunde,kunnat,can / be able to,can|to can|be able to|to be able to,0,0,Jag kan simma ganska bra.
få,få,får,fick,fått,get / may,get|to get|may|to may,0,0,Du får äta kakan nu.
gå,gå,går,gick,gått,go / walk,go|to go|walk|to walk,0,0,Vi går till parken varje morgon.
kom,komma,kommer,kom,kommit,come,come|to come,0,0,Han kommer snart hem från jobbet.
se,se,ser,såg,sett,see,see|to see,0,0,Jag ser en fågel utanför fönstret.
ta,ta,tar,tog,tagit,take,take|to take,1,1,Hon tar bussen till jobbet.
bli,bli,blir,blev,blivit,become,become|to become,0,0,Det blir kallt på kvällen.
ge,ge,ger,gav,gett,give,give|to give,1,1,Han ger henne en blomma.
vet,veta,vet,visste,vetat,know,know|to know,0,0,Jag vet inte svaret på den frågan.
tänk,tänka,tänker,tänkte,tänkt,think,think|to think,0,0,Hon tänker på sin familj varje dag.
känn,känna,känner,kände,känt,feel,feel|to feel,0,0,Jag känner mig glad idag.
låt,låta,låter,lät,låtit,let,let|to let,1,0,Musiken låter vacker i det stora rummet.
håll,hålla,håller,höll,hållit,hold,hold|to hold,0,0,Han håller i sin mammas hand.
lev,leva,lever,levde,levt,live,live|to live,0,0,Vi lever ett enkelt liv på landet.
fråga,fråga,frågar,frågade,frågat,ask,ask|to ask,0,0,Han frågar alltid om hjälp när han behöver det.
ställ,ställa,ställer,ställde,ställt,place,place|to place,0,0,Läraren ställer en svår fråga till klassen.
visa,visa,visar,visade,visat,show,show|to show,0,0,Hon visar sina foton från semestern.
spela,spela,spelar,spelade,spelat,play,play|to play,0,0,Han spelar gitarr varje kväll.
tro,tro,tror,trodde,trott,believe,believe|to believe,0,0,Jag tror att det kommer att gå bra.
ligg,ligga,ligger,låg,legat,lie,lie|to lie,0,0,Boken ligger på bordet.
stå,stå,står,stod,stått,stand,stand|to stand,0,0,Han står utanför dörren och väntar.
tyck,tycka,tycker,tyckte,tyckt,like / think,like|to like|think|to think,0,0,Jag tycker om att läsa böcker.
mena,mena,menar,menade,menat,mean,mean|to mean,0,0,Vad menar du med det?
sätt,sätta,sätter,satte,satt,put,put|to put,0,0,Hon sätter nyckeln på bordet.
hitta,hitta,hittar,hittade,hittat,find,find|to find,0,0,Jag hittar alltid mina nycklar i jackan.
behöv,behöva,behöver,behövde,behövt,need,need|to need,0,0,Du behöver inte oroa dig för det.
börja,börja,börjar,började,börjat,begin,begin|to begin,0,0,Skolan börjar klockan åtta varje morgon.
försök,försöka,försöker,försökte,försökt,try,try|to try,0,0,Han försöker lära sig svenska varje dag.
använd,använda,använder,använde,använt,use,use|to use,0,0,Jag använder dator på jobbet.
hjälp,hjälpa,hjälper,hjälpte,hjälpt,help,help|to help,0,0,Hon hjälper sin mamma med matlagningen.
tala,tala,talar,talade,talat,speak,speak|to speak,0,0,Han talar tre språk flytande.
följ,följa,följer,följde,följt,follow,follow|to follow,0,0,Hunden följer sin ägare överallt.
lämna,lämna,lämnar,lämnade,lämnat,leave,leave|to leave,0,0,Han lämnar huset klockan sju varje morgon.
träffa,träffa,träffar,träffade,träffat,meet,meet|to meet,0,0,Jag träffar mina vänner på helgerna.
skriv,skriva,skriver,skrev,skrivit,write,write|to write,0,0,Hon skriver en roman om sin barndom.
läs,läsa,läser,läste,läst,read,read|to read,0,0,Han läser en bok varje kväll.
verka,verka,verkar,verkade,verkat,seem,seem|to seem,0,0,Det verkar som att det ska bli regn idag.
delta,delta,deltar,deltog,deltagit,participate,participate|to participate,0,0,Han deltar i ett projekt på jobbet.
ändra,ändra,ändrar,ändrade,ändrat,change,change|to change,0,0,Programmet ändrar automatiskt alla inställningar.
fortsätt,fortsätta,fortsätter,fortsatte,fortsatt,continue,continue|to continue,0,0,Hon fortsätter att studera trots svårigheterna.
hör,höra,hör,hörde,hört,hear,hear|to hear,0,0,Jag hör musik från grannen.
öppna,öppna,öppnar,öppnade,öppnat,open,open|to open,0,0,Han öppnar fönstret för att vädra.
stäng,stänga,stänger,stängde,stängt,close,close|to close,0,0,Hon stänger dörren försiktigt.
svara,svara,svarar,svarade,svarat,answer,answer|to answer,0,0,Han svarar alltid på mina meddelanden.
möt,möta,möter,mötte,mött,meet,meet|to meet,0,0,Vi möter våra nya grannar imorgon.
hyr,hyra,hyr,hyrde,hyrt,rent,rent|to rent,0,0,Hon hyr en lägenhet i centrala Stockholm.
kör,köra,kör,körde,kört,drive,drive|to drive,0,0,Han kör bil till jobbet varje dag.
ring,ringa,ringer,ringde,ringt,call,call|to call,0,0,Hon ringer sin mamma varje söndag.
sluta,sluta,slutar,slutade,slutat,stop,stop|to stop,0,0,Arbetet slutar klockan fem.
sitt,sitta,sitter,satt,suttit,sit,sit|to sit,0,0,Han sitter vid datorn hela dagen.
ät,äta,äter,åt,ätit,eat,eat|to eat,0,0,Vi äter frukost klockan sju.
drick,dricka,dricker,drack,druckit,drink,drink|to drink,0,0,Hon dricker kaffe varje morgon.
sov,sova,sover,sov,sovit,sleep,sleep|to sleep,0,0,Barnet sover i åtta timmar varje natt.
spring,springa,springer,sprang,sprungit,run,run|to run,0,0,Han springer fem kilometer varje morgon.
res,resa,reser,reste,rest,travel,travel|to travel,0,0,Hon reser till Paris nästa vecka.
glöm,glömma,glömmer,glömde,glömt,forget,forget|to forget,0,0,Jag glömmer alltid var jag lägger mina nycklar.
vinn,vinna,vinner,vann,vunnit,win,win|to win,1,1,Laget vinner matchen med tre mål.
förlora,förlora,förlorar,förlorade,förlorat,lose,lose|to lose,0,0,Han förlorar alltid när vi spelar schack.
betala,betala,betalar,betalade,betalat,pay,pay|to pay,0,0,Hon betalar räkningarna i tid.
köp,köpa,köper,köpte,köpt,buy,buy|to buy,0,0,Han köper bröd på affären varje morgon.
sälj,sälja,säljer,sålde,sålt,sell,sell|to sell,0,0,Hon säljer handgjorda smycken online.
tjäna,tjäna,tjänar,tjänade,tjänat,earn,earn|to earn,0,0,Han tjänar bra på sitt nya jobb.
gilla,gilla,gillar,gillade,gillat,like,like|to like,0,0,Jag gillar verkligen din nya frisyr.
älska,älska,älskar,älskade,älskat,love,love|to love,0,0,Hon älskar sin familj över allt annat.
bo,bo,bor,bodde,bott,live,live|to live,0,0,Han bor i en liten stad nära havet.
kolla,kolla,kollar,kollade,kollat,check,check|to check,0,0,Hon kollar alltid vädret innan hon åker ut.
skratta,skratta,skrattar,skrattade,skrattat,laugh,laugh|to laugh,0,0,Han skrattar alltid åt hennes skämt.
åk,åka,åker,åkte,åkt,go,go|to go,0,0,Vi åker tåg till Göteborg imorgon.
bygg,bygga,bygger,byggde,byggt,build,build|to build,0,0,Han bygger ett hus med hjälp av sina vänner.
studera,studera,studerar,studerade,studerat,study,study|to study,0,0,Hon studerar medicin vid universitetet.
prata,prata,pratar,pratade,pratat,talk,talk|to talk,0,0,Vi pratar svenska hemma.
sjung,sjunga,sjunger,sjöng,sjungit,sing,sing|to sing,0,0,Barnen sjunger en sång i skolan.
laga,laga,lagar,lagade,lagat,cook / fix,cook|to cook|fix|to fix,1,1,Hon lagar mat till hela familjen.
måla,måla,målar,målade,målat,paint,paint|to paint,0,0,Han målar ett porträtt av sin dotter.
förstör,förstöra,förstör,förstörde,förstört,destroy,destroy|to destroy,0,0,Han förstör alltid stämningen på festen.
bestäm,bestämma,bestämmer,bestämde,bestämt,decide,decide|to decide,0,0,Vi bestämmer vart vi ska åka på semester.
planera,planera,planerar,planerade,planerat,plan,plan|to plan,0,0,Hon planerar bröllopsresan noggrant.
förklara,förklara,förklarar,förklarade,förklarat,explain,explain|to explain,0,0,Läraren förklarar grammatiken på ett tydligt sätt.
förstå,förstå,förstår,förstod,förstått,understand,understand|to understand,0,0,Jag förstår inte vad han menar.
