Swedish,English,Category,Example,Article
bröd,bread,food,Jag äter bröd till frukost.,ett
smör,butter,food,Jag äter smör till frukost.,ett
ost,cheese,food,Jag äter ost till frukost.,en
mjölk,milk,food,Jag äter mjölk till frukost.,en
ägg,egg,food,Jag äter ägg till frukost.,ett
kött,meat,food,Jag äter kött till frukost.,ett
fisk,fish,food,Jag äter fisk till frukost.,en
kyckling,chicken,food,Jag äter kyckling till frukost.,en
nötkött,beef,food,Jag äter nötkött till frukost.,ett
fläsk,pork,food,Jag äter fläsk till frukost.,ett
lax,salmon,food,Jag äter lax till frukost.,en
räka,shrimp,food,Jag äter räka till frukost.,en
sill,herring,food,Jag äter sill till frukost.,en
potatis,potato,food,Jag äter potatis till frukost.,en
morot,carrot,food,Jag äter morot till frukost.,en
lök,onion,food,Jag äter lök till frukost.,en
vitlök,garlic,food,Jag äter vitlök till frukost.,en
tomat,tomato,food,Jag äter tomat till frukost.,en
gurka,cucumber,food,Jag äter gurka till frukost.,en
paprika,bell pepper,food,Jag äter paprika till frukost.,en
sallad,lettuce,food,Jag äter sallad till frukost.,en
svamp,mushroom,food,Jag äter svamp till frukost.,en
spenat,spinach,food,Jag äter spenat till frukost.,en
broccoli,broccoli,food,Jag äter broccoli till frukost.,en
blomkål,cauliflower,food,Jag äter blomkål till frukost.,en
kål,cabbage,food,Jag äter kål till frukost.,en
ärta,pea,food,Jag äter ärta till frukost.,en
böna,bean,food,Jag äter böna till frukost.,en
majs,corn,food,Jag äter majs till frukost.,en
ris,rice,food,Jag äter ris till frukost.,ett
pasta,pasta,food,Jag äter pasta till frukost.,en
nudlar,noodles,food,Jag äter nudlar till frukost.,en
soppa,soup,food,Jag äter soppa till frukost.,en
smörgås,sandwich,food,Jag äter smörgås till frukost.,en
pizza,pizza,food,Jag äter pizza till frukost.,en
hamburgare,hamburger,food,Jag äter hamburgare till frukost.,en
äpple,apple,food,Jag äter äpple till frukost.,ett
päron,pear,food,Jag äter päron till frukost.,ett
banan,banana,food,Jag äter banan till frukost.,en
apelsin,orange,food,Jag äter apelsin till frukost.,en
citron,lemon,food,Jag äter citron till frukost.,en
jordgubbe,strawberry,food,Jag äter jordgubbe till frukost.,en
hallon,raspberry,food,Jag äter hallon till frukost.,ett
blåbär,blueberry,food,Jag äter blåbär till frukost.,ett
vindruva,grape,food,Jag äter vindruva till frukost.,en
vattenmelon,watermelon,food,Jag äter vattenmelon till frukost.,en
mango,mango,food,Jag äter mango till frukost.,en
ananas,pineapple,food,Jag äter ananas till frukost.,en
körsbär,cherry,food,Jag äter körsbär till frukost.,ett
persika,peach,food,Jag äter persika till frukost.,en
plommon,plum,food,Jag äter plommon till frukost.,ett
nöt,nut,food,Jag äter nöt till frukost.,en
mandel,almond,food,Jag äter mandel till frukost.,en
valnöt,walnut,food,Jag äter valnöt till frukost.,en
hasselnöt,hazelnut,food,Jag äter hasselnöt till frukost.,en
jordnöt,peanut,food,Jag äter jordnöt till frukost.,en
honung,honey,food,Jag äter honung till frukost.,en
sylt,jam,food,Jag äter sylt till frukost.,en
socker,sugar,food,Jag äter socker till frukost.,ett
salt,salt,food,Jag äter salt till frukost.,ett
peppar,pepper,food,Jag äter peppar till frukost.,en
senap,mustard,food,Jag äter senap till frukost.,en
ketchup,ketchup,food,Jag äter ketchup till frukost.,en
majonnäs,mayonnaise,food,Jag äter majonnäs till frukost.,en
olja,oil,food,Jag äter olja till frukost.,en
vinäger,vinegar,food,Jag äter vinäger till frukost.,en
mjöl,flour,food,Jag äter mjöl till frukost.,ett
grädde,cream,food,Jag äter grädde till frukost.,en
yoghurt,yogurt,food,Jag äter yoghurt till frukost.,en
glass,ice cream,food,Jag äter glass till frukost.,en
kaka,cookie,food,Jag äter kaka till frukost.,en
tårta,cake,food,Jag äter tårta till frukost.,en
choklad,chocolate,food,Jag äter choklad till frukost.,en
godis,candy,food,Jag äter godis till frukost.,ett
chips,chips,food,Jag äter chips till frukost.,ett
köttbullar,meatballs,food,Jag äter köttbullar till frukost.,en
husmanskost,traditional home cooking,food,Jag äter husmanskost till frukost.,en
frukost,breakfast,food,Jag äter frukost till frukost.,en
lunch,lunch,food,Jag äter lunch till frukost.,en
middag,dinner,food,Jag äter middag till frukost.,en
måltid,meal,food,Jag äter måltid till frukost.,en
vatten,water,drink,Jag dricker vatten varje morgon.,ett
juice,juice,drink,Jag dricker juice varje morgon.,en
kaffe,coffee,drink,Jag dricker kaffe varje morgon.,ett
te,tea,drink,Jag dricker te varje morgon.,ett
öl,beer,drink,Jag dricker öl varje morgon.,ett
vin,wine,drink,Jag dricker vin varje morgon.,ett
whisky,whisky,drink,Jag dricker whisky varje morgon.,en
vodka,vodka,drink,Jag dricker vodka varje morgon.,en
cocktail,cocktail,drink,Jag dricker cocktail varje morgon.,en
läsk,soda,drink,Jag dricker läsk varje morgon.,en
cider,cider,drink,Jag dricker cider varje morgon.,en
champagne,champagne,drink,Jag dricker champagne varje morgon.,en
lemonad,lemonade,drink,Jag dricker lemonad varje morgon.,en
smoothie,smoothie,drink,Jag dricker smoothie varje morgon.,en
milkshake,milkshake,drink,Jag dricker milkshake varje morgon.,en
huvud,head,body,Min huvud gör ont idag.,ett
hår,hair,body,Min hår gör ont idag.,ett
ansikte,face,body,Min ansikte gör ont idag.,ett
